Rank,Word,Occurences,Percentage,Cumulative%
1,する,138279,7.34511%,7.345%
2,いる,46578,2.47413%,9.819%
3,年,40626,2.15797%,11.977%
4,なる,22545,1.19755%,13.175%
5,月,22245,1.18161%,14.356%
6,こと,19785,1.05094%,15.407%
7,日,16744,0.88941%,16.297%
8,ある,15113,0.80277%,17.099%
9,ため,10894,0.57867%,17.678%
10,行う,7382,0.39212%,18.070%
11,よう,7327,0.38920%,18.459%
12,できる,7294,0.38744%,18.847%
13,もの,6454,0.34282%,19.190%
14,日本,5998,0.31860%,19.508%
15,の,5793,0.30771%,19.816%
16,放送,5596,0.29725%,20.113%
17,開発,4956,0.26325%,20.377%
18,使用,4832,0.25667%,20.633%
19,これ,4637,0.24631%,20.880%
20,おる,4634,0.24615%,21.126%
21,発売,4318,0.22936%,21.355%
22,番組,3873,0.20573%,21.561%
23,現在,3852,0.20461%,21.765%
24,場合,3828,0.20334%,21.969%
25,ない,3670,0.19494%,22.164%
26,可能,3323,0.17651%,22.340%
27,人,3254,0.17285%,22.513%
28,アルバム,3172,0.16849%,22.682%
29,作品,3154,0.16753%,22.849%
30,使う,3103,0.16483%,23.014%
31,シリーズ,3033,0.16111%,23.175%
32,ゲーム,2979,0.15824%,23.333%
33,事,2977,0.15813%,23.491%
34,それ,2948,0.15659%,23.648%
35,持つ,2829,0.15027%,23.798%
36,多い,2773,0.14730%,23.946%
37,呼ぶ,2771,0.14719%,24.093%
38,回,2729,0.14496%,24.238%
39,搭載,2592,0.13768%,24.375%
40,機能,2569,0.13646%,24.512%
41,時間,2535,0.13465%,24.646%
42,他,2524,0.13407%,24.781%
43,存在,2514,0.13354%,24.914%
44,前,2465,0.13094%,25.045%
45,年代,2462,0.13078%,25.176%
46,開催,2407,0.12786%,25.304%
47,開始,2396,0.12727%,25.431%
48,シングル,2395,0.12722%,25.558%
49,アメリカ,2375,0.12616%,25.684%
50,世界,2355,0.12509%,25.809%
51,中,2343,0.12446%,25.934%
52,システム,2264,0.12026%,26.054%
53,採用,2234,0.11867%,26.173%
54,当時,2207,0.11723%,26.290%
55,利用,2206,0.11718%,26.407%
56,大会,2201,0.11691%,26.524%
57,リリース,2186,0.11612%,26.640%
58,チーム,2166,0.11505%,26.755%
59,位,2135,0.11341%,26.869%
60,西暦,2116,0.11240%,26.981%
61,対応,2115,0.11234%,27.093%
62,以下,2076,0.11027%,27.204%
63,以降,2053,0.10905%,27.313%
64,その後,2024,0.10751%,27.420%
65,必要,2013,0.10693%,27.527%
66,変更,1983,0.10533%,27.632%
67,用いる,1978,0.10507%,27.738%
68,しまう,1969,0.10459%,27.842%
69,登場,1957,0.10395%,27.946%
70,平年,1946,0.10337%,28.049%
71,リーグ,1925,0.10225%,28.152%
72,型,1900,0.10092%,28.253%
73,時,1898,0.10082%,28.353%
74,テレビ,1873,0.09949%,28.453%
75,数,1858,0.09869%,28.552%
76,情報,1846,0.09806%,28.650%
77,一部,1825,0.09694%,28.747%
78,参照,1822,0.09678%,28.843%
79,くる,1799,0.09556%,28.939%
80,発表,1783,0.09471%,29.034%
81,エンジン,1779,0.09450%,29.128%
82,活動,1760,0.09349%,29.222%
83,データ,1721,0.09142%,29.313%
84,言う,1720,0.09136%,29.404%
85,収録,1714,0.09104%,29.495%
86,多く,1706,0.09062%,29.586%
87,問題,1680,0.08924%,29.675%
88,高い,1661,0.08823%,29.764%
89,点,1591,0.08451%,29.848%
90,ユリウス暦,1584,0.08414%,29.932%
91,試合,1580,0.08393%,30.016%
92,以上,1577,0.08377%,30.100%
93,曲,1525,0.08100%,30.181%
94,当初,1521,0.08079%,30.262%
95,結果,1517,0.08058%,30.342%
96,異なる,1503,0.07984%,30.422%
97,パ,1497,0.07952%,30.502%
98,次,1497,0.07952%,30.581%
99,同様,1495,0.07941%,30.661%
100,選手権,1482,0.07872%,30.739%
101,含む,1481,0.07867%,30.818%
102,優勝,1478,0.07851%,30.896%
103,後,1474,0.07830%,30.975%
104,機,1470,0.07808%,31.053%
105,受ける,1465,0.07782%,31.131%
106,セ,1462,0.07766%,31.208%
107,いう,1460,0.07755%,31.286%
108,音楽,1455,0.07729%,31.363%
109,いく,1453,0.07718%,31.440%
110,販売,1441,0.07654%,31.517%
111,見る,1441,0.07654%,31.593%
112,部分,1434,0.07617%,31.670%
113,これら,1414,0.07511%,31.745%
114,形,1404,0.07458%,31.819%
115,主,1396,0.07415%,31.893%
116,際,1392,0.07394%,31.967%
117,以外,1389,0.07378%,32.041%
118,記録,1381,0.07336%,32.115%
119,間,1376,0.07309%,32.188%
